transaction_id,customer_id,account_type,transaction_type,amount,currency,transaction_date,merchant,city,status
TXN100023,CUST8644,Current,Debit,,EUR,2024-06-05,ICICI,Hyderabad,Success
TXN100024,CUST2110,Current,Debit,228040.43,USD,2024-04-11,HDFC,Hyderabad,Failed
TXN100025,CUST9653,Loan,Debit,392590.13,nan,2024-11-13,Amazon,nan,Success
TXN100026,CUST9513,Credit,Debit,99844.89,EUR,2023-10-16,SBI,Hyderabad,Pending
TXN100027,CUST5510,Credit,Debit,257122.08,EUR,2023-02-06,Amazon,Bangalore,Success
TXN100028,CUST2874,Current,Debit,296211.36,INR,2024-09-23,Walmart,Delhi,Pending
TXN100029,CUST4039,Savings,Credit,23234.74,INR,2024-02-16,Amazon,Delhi,Success
TXN100030,CUST2256,Current,Debit,,INR,2024-11-16,HDFC,Delhi,Success
TXN100031,CUST4240,Loan,Debit,85270.36,USD,2024-01-21,ICICI,Delhi,Success
TXN100032,CUST5263,Loan,Debit,32535.15,USD,2024-02-26,SBI,Bangalore,nan
TXN100033,CUST6269,Current,Debit,474443.28,INR,2023-02-07,Flipkart,Mumbai,Success
TXN100034,CUST8717,Savings,Credit,482816.36,USD,2024-06-16,Walmart,Delhi,Failed
TXN100035,CUST2409,Savings,nan,404200.59,INR,2023-06-10,Walmart,Mumbai,Success
TXN100036,CUST2832,Savings,Debit,152313.84,INR,2023-08-06,Amazon,Pune,Success
TXN100037,CUST3024,Loan,Debit,48845.08,INR,2023-09-01,ICICI,Bangalore,Success
TXN100038,CUST6736,Savings,Credit,342119.67,EUR,2023-02-12,Amazon,Pune,Success
TXN100039,CUST5993,Current,Debit,220081.85,USD,2023-04-28,Walmart,Chennai,nan
TXN100040,CUST8634,Loan,Credit,61027.9,nan,2024-08-28,Flipkart,Chennai,Success
TXN100041,CUST5957,Savings,Debit,247593.5,nan,2023-11-20,HDFC,Mumbai,Success
TXN100042,CUST4213,Current,Credit,17203.92,INR,2023-07-17,SBI,Mumbai,Success
TXN100043,CUST7208,Savings,Debit,454661.11,INR,2024-04-26,ICICI,Delhi,Success
TXN100044,CUST7453,Current,Debit,129397.4,INR,2023-09-08,ICICI,Mumbai,Success
TXN100045,CUST3753,Savings,Debit,331264.52,EUR,2024-12-04,Amazon,Delhi,Success
TXN100046,CUST8328,Current,Credit,155862.42,INR,2024-04-12,ICICI,Chennai,Success
TXN100047,CUST1305,Credit,Credit,,INR,2023-05-05,Amazon,Hyderabad,Success
TXN100048,CUST2384,Credit,nan,273359.67,INR,2024-07-02,Reliance,Chennai,Failed
TXN100049,CUST4367,Current,Debit,92435.38,INR,2024-08-13,HDFC,Chennai,Success
TXN100050,CUST2574,Loan,Credit,484792.62,INR,2024-05-17,Flipkart,Mumbai,Success
TXN100051,CUST1872,Savings,Debit,387568.66,INR,2023-04-14,HDFC,Mumbai,Pending
TXN100052,CUST9360,Loan,Credit,469750.08,USD,2024-10-24,SBI,Mumbai,Success
TXN100053,CUST6578,Savings,Debit,447414.73,INR,2023-08-22,SBI,Pune,Success
TXN100054,CUST2030,Current,Credit,298954.01,EUR,2023-03-14,Flipkart,Delhi,Success
TXN100055,CUST8764,Savings,Credit,460937.9,USD,2023-02-03,Flipkart,Bangalore,Failed
TXN100056,CUST7731,Savings,Credit,44255.37,EUR,2023-12-29,HDFC,Chennai,Success
TXN100057,CUST7905,Loan,Credit,97999.47,INR,2023-06-11,ICICI,nan,Failed
TXN100058,CUST5442,Savings,Debit,22623.19,INR,2024-12-20,Reliance,Chennai,Success
TXN100059,CUST4667,Savings,Credit,162671.91,INR,2023-09-17,SBI,Mumbai,nan
TXN100060,CUST2276,Current,nan,194344.76,EUR,2024-04-20,HDFC,Pune,Success
TXN100061,CUST7553,Savings,Debit,,INR,2023-12-03,Flipkart,Delhi,Success
TXN100062,CUST1542,Loan,Credit,414370.47,USD,2024-05-03,Amazon,Hyderabad,nan
TXN100063,CUST9546,Loan,nan,178383.1,EUR,2024-12-16,ICICI,Hyderabad,Success
TXN100064,CUST5808,Savings,Debit,140474.45,INR,2023-07-16,Amazon,Bangalore,Success
TXN100065,CUST8731,Savings,Credit,271352.61,INR,2023-08-18,Amazon,Chennai,Success
TXN100066,CUST1583,Savings,Credit,70470.7,USD,2023-04-10,ICICI,Delhi,Success
TXN100067,CUST1510,Current,Credit,401100.47,USD,2024-08-28,Amazon,Hyderabad,Success
TXN100068,CUST7676,Savings,Debit,37284.58,USD,2023-03-04,ICICI,nan,Failed
TXN100069,CUST7671,Current,Debit,493443.6,INR,2023-11-30,HDFC,Bangalore,nan
TXN100070,CUST8695,Credit,Debit,386124.66,USD,2024-12-06,HDFC,nan,Success
TXN100071,CUST4473,Current,Credit,99365.85,INR,2023-10-11,SBI,Delhi,Failed
TXN100072,CUST2198,Savings,Credit,2771.0,INR,2024-12-19,SBI,Mumbai,Success
TXN100073,CUST4995,Current,Credit,407732.56,INR,2024-08-21,Amazon,nan,Success
TXN100074,CUST5535,Credit,Debit,353431.6,EUR,2023-05-18,SBI,Bangalore,Success
TXN100075,CUST6871,Current,Credit,364506.29,INR,2024-06-21,HDFC,Pune,Success
TXN100076,CUST4303,Savings,Debit,385637.46,INR,2024-02-23,Flipkart,Mumbai,Pending
TXN100077,CUST3447,Current,Credit,37031.59,INR,2023-10-17,SBI,Chennai,Success
TXN100078,CUST8739,Current,Credit,,EUR,2024-03-02,Amazon,Mumbai,Success
TXN100079,CUST7844,Savings,Credit,57943.37,INR,2024-11-14,ICICI,Bangalore,Pending
TXN100080,CUST2290,nan,Credit,431553.08,INR,2024-03-03,HDFC,Hyderabad,Success
TXN100081,CUST6834,Credit,Debit,311652.83,nan,2023-02-12,Flipkart,Chennai,Success
TXN100082,CUST8549,Credit,Credit,165455.7,INR,2023-11-04,Amazon,Chennai,Success
TXN100083,CUST7687,Loan,Debit,31788.54,USD,2024-09-13,Reliance,Delhi,Success
TXN100084,CUST9693,Credit,Credit,,INR,2023-05-27,Walmart,Chennai,Success
TXN100085,CUST8428,Credit,Debit,162598.41,INR,2024-09-26,SBI,Pune,Pending
TXN100086,CUST1386,Current,Credit,364805.79,INR,2024-01-16,ICICI,Bangalore,Success
TXN100087,CUST9603,Current,nan,318782.36,EUR,2024-12-03,HDFC,Chennai,Success
TXN100088,CUST3006,Savings,Debit,443607.5,INR,2023-04-26,Amazon,Pune,Success
TXN100089,CUST6213,Savings,Credit,236112.74,INR,2024-04-09,ICICI,Mumbai,Success
TXN100090,CUST3147,Current,Credit,59805.93,EUR,2024-10-30,HDFC,Chennai,Success
TXN100091,CUST4868,Credit,Debit,356625.26,EUR,2023-07-26,Amazon,Bangalore,Success
TXN100092,CUST7037,Current,Credit,380394.92,INR,2023-02-22,ICICI,Bangalore,nan
TXN100093,CUST7637,Credit,Debit,280642.99,INR,2023-04-08,ICICI,Bangalore,Success
TXN100094,CUST1352,Credit,Credit,385485.88,INR,2023-01-28,ICICI,Chennai,Success
TXN100095,CUST5964,Savings,nan,246902.86,USD,2023-08-01,Amazon,Pune,Success
TXN100096,CUST4188,Savings,nan,261371.19,INR,2024-10-18,Reliance,Chennai,Success
TXN100097,CUST2302,Savings,Debit,213776.23,USD,2023-09-05,Reliance,Delhi,Failed
TXN100098,CUST8749,Savings,Debit,12719.31,INR,2024-05-04,SBI,Mumbai,Success
TXN100099,CUST1846,Current,Credit,53954.63,INR,2024-06-19,SBI,nan,Success
TXN100100,CUST8521,Credit,Credit,15724.28,USD,2023-11-28,Amazon,Delhi,Success
TXN100101,CUST9717,Savings,Credit,318208.84,USD,2023-02-05,nan,Bangalore,Success
TXN100102,CUST3524,Loan,Debit,157184.85,USD,2023-07-16,ICICI,Mumbai,nan
TXN100103,CUST2878,Loan,Credit,254290.26,USD,2024-02-14,Walmart,Pune,Failed
TXN100104,CUST5105,Current,Debit,453784.16,INR,2023-07-03,ICICI,Hyderabad,Success
TXN100105,CUST4630,Credit,Credit,124653.62,USD,2023-03-08,Walmart,Hyderabad,Success
TXN100106,CUST8670,Savings,Debit,205197.36,EUR,2023-02-02,SBI,Delhi,Success
TXN100107,CUST7667,Credit,Credit,377778.01,INR,2023-06-16,Walmart,Bangalore,Success
TXN100108,CUST3819,Savings,Debit,114406.79,INR,2023-12-06,ICICI,Bangalore,Success
TXN100109,CUST6979,Credit,Debit,38499.19,USD,2024-11-28,Amazon,Bangalore,Success
TXN100110,CUST9077,Current,Credit,144882.83,INR,2024-06-07,SBI,Mumbai,Success
TXN100111,CUST3489,Loan,Credit,,INR,2023-09-02,HDFC,Delhi,Success
TXN100112,CUST6688,Current,Credit,464849.53,EUR,2024-04-30,ICICI,Delhi,Success
TXN100113,CUST4264,Savings,Credit,404062.11,INR,2024-08-18,Walmart,Mumbai,Pending
TXN100114,CUST7023,Current,Debit,316705.54,USD,2023-02-12,Walmart,Delhi,Success
TXN100115,CUST3293,Credit,Credit,435731.58,INR,2024-09-10,Reliance,Pune,nan
TXN100116,CUST1674,Credit,Credit,401838.0,INR,2024-06-08,Walmart,Bangalore,Success
TXN100117,CUST7257,nan,Debit,93293.16,USD,2024-04-01,Reliance,Delhi,Failed
TXN100118,CUST2011,Loan,Debit,446280.57,INR,2024-08-24,Walmart,Hyderabad,Success
TXN100119,CUST9985,Current,Debit,269675.73,EUR,2023-04-26,Flipkart,Mumbai,Success
TXN100120,CUST1232,Savings,Debit,,INR,2023-04-16,nan,Mumbai,Success
TXN100121,CUST4027,Savings,Debit,448046.69,nan,2024-11-15,Amazon,Chennai,Success
TXN100122,CUST4609,nan,nan,159008.56,USD,2023-12-11,SBI,Hyderabad,Success
TXN100123,CUST3173,Loan,Credit,55034.86,INR,2024-01-24,ICICI,Delhi,Success
TXN100124,CUST4384,Savings,Debit,113975.3,USD,2024-06-18,Walmart,Delhi,Success
TXN100125,CUST3328,Credit,Credit,213559.62,INR,2023-08-29,Flipkart,Mumbai,Failed
TXN100126,CUST1797,Credit,Credit,409009.2,EUR,2023-04-06,Amazon,Delhi,Success
TXN100127,CUST8121,Current,Credit,430366.68,INR,2023-11-06,Amazon,nan,nan
TXN100128,CUST4684,Loan,Debit,3486.0,nan,2023-05-05,HDFC,Bangalore,Success
TXN100129,CUST5487,Savings,Credit,255378.54,INR,2023-08-22,Amazon,Delhi,Success
TXN100130,CUST8690,Loan,Debit,208711.33,USD,2024-11-19,Reliance,Chennai,Success
TXN100131,CUST3589,Current,Credit,111061.68,INR,2024-08-04,ICICI,nan,Failed
TXN100132,CUST5701,Current,Debit,59941.49,INR,2023-07-25,ICICI,Bangalore,Success
TXN100133,CUST9700,Current,Credit,168814.21,INR,2023-08-21,Amazon,Mumbai,Failed
TXN100134,CUST8667,Current,Credit,,INR,2023-04-30,nan,Hyderabad,Success
TXN100135,CUST7414,Current,Debit,,INR,2024-04-21,Flipkart,Pune,Pending
TXN100136,CUST2463,Credit,Debit,259400.12,INR,2024-09-22,ICICI,Hyderabad,Success
TXN100137,CUST4110,Current,Credit,351512.45,nan,2023-01-22,Flipkart,Bangalore,Failed
TXN100138,CUST2047,Credit,Credit,181821.16,INR,2023-07-31,HDFC,Delhi,Failed
TXN100139,CUST5871,Savings,Credit,485891.32,INR,2024-04-19,HDFC,Bangalore,Success
TXN100140,CUST6289,Loan,Credit,,EUR,2024-11-27,Amazon,Bangalore,Success
TXN100141,CUST5435,Savings,Debit,125898.63,INR,2024-05-10,HDFC,nan,Success
TXN100142,CUST9360,Current,Debit,248629.28,INR,2023-07-07,Flipkart,Mumbai,Success
TXN100143,CUST2561,Savings,Credit,150446.15,USD,2023-07-02,HDFC,Bangalore,Success
TXN100144,CUST8859,Current,Debit,142427.4,INR,2024-02-22,Reliance,Delhi,Success
TXN100145,CUST7805,Savings,Credit,18453.1,INR,2024-07-06,ICICI,nan,nan
TXN100146,CUST8812,Loan,Credit,304786.07,INR,2024-06-23,Flipkart,Mumbai,nan
TXN100147,CUST7286,Savings,nan,251344.48,INR,2024-06-16,Amazon,Delhi,Success
TXN100148,CUST8843,Current,Debit,25748.86,INR,2023-03-15,SBI,nan,Pending
TXN100149,CUST1574,Credit,Debit,139330.45,INR,2023-02-05,Walmart,Mumbai,Pending
TXN100150,CUST5016,Savings,Credit,454133.86,USD,2024-02-14,ICICI,Hyderabad,nan
TXN100151,CUST8227,Loan,Debit,119788.55,USD,2024-06-14,nan,Chennai,Success
TXN100152,CUST5024,Loan,Debit,72455.99,INR,2024-11-18,Reliance,Pune,Pending
TXN100153,CUST9722,Credit,Credit,,INR,2023-01-15,Flipkart,Pune,Failed
TXN100154,CUST1990,Savings,Debit,492825.37,INR,2024-09-13,ICICI,Chennai,Success
TXN100155,CUST3120,Savings,Debit,121035.22,INR,2023-04-19,SBI,Chennai,Success
TXN100156,CUST5964,Savings,Debit,336071.05,EUR,2023-05-04,Flipkart,Mumbai,Success
TXN100157,CUST3441,Savings,Debit,380812.19,INR,2023-11-01,HDFC,Mumbai,Failed
TXN100158,CUST6877,Savings,Credit,118826.4,nan,2023-01-18,ICICI,Hyderabad,Failed
TXN100159,CUST3520,Loan,Debit,364110.89,INR,2023-03-25,Amazon,Chennai,Success
TXN100160,CUST5408,Current,Debit,183897.89,EUR,2024-12-05,HDFC,Hyderabad,Success
TXN100161,CUST1951,Savings,Credit,316156.59,USD,2023-07-07,HDFC,Mumbai,Success
TXN100162,CUST1964,Savings,nan,316768.52,INR,2023-06-13,HDFC,Pune,Success
TXN100163,CUST3134,Current,Credit,267891.98,INR,2024-01-03,Amazon,Mumbai,Success
TXN100164,CUST5454,Savings,Credit,45153.98,INR,2024-12-22,Amazon,Pune,Pending
TXN100165,CUST9886,Loan,Credit,417652.89,INR,2024-01-29,Flipkart,Delhi,Success
TXN100166,CUST3244,Savings,Debit,160396.82,INR,2023-01-20,Walmart,Delhi,Success
TXN100167,CUST3803,Loan,Credit,93267.39,INR,2023-04-23,Amazon,Pune,Success
TXN100168,CUST4911,Credit,Debit,20397.16,USD,2023-11-13,Reliance,Bangalore,Failed
TXN100169,CUST2408,nan,Credit,295450.56,INR,2023-12-23,Flipkart,Hyderabad,Success
TXN100170,CUST6237,Savings,Debit,338785.41,INR,2023-05-30,Walmart,Pune,Success
TXN100171,CUST5593,Savings,Credit,8303.75,EUR,2024-08-17,Flipkart,Delhi,Success
TXN100172,CUST9051,Current,Debit,256051.41,INR,2024-02-17,ICICI,Mumbai,Success
TXN100173,CUST9653,Loan,Debit,113255.62,USD,2023-02-27,SBI,Chennai,Success
TXN100174,CUST8663,Credit,Credit,322589.94,INR,2023-02-23,Flipkart,Bangalore,Success
TXN100175,CUST8113,Credit,Credit,,INR,2024-06-23,Walmart,Hyderabad,Success
TXN100176,CUST9142,Savings,Debit,345471.96,INR,2023-12-27,ICICI,Mumbai,Success
TXN100177,CUST7377,Current,Credit,193373.81,INR,2024-12-17,ICICI,Chennai,Success
TXN100178,CUST9608,Savings,Debit,468365.63,INR,2024-02-27,ICICI,Bangalore,Success
TXN100179,CUST6601,Current,Credit,68769.1,INR,2023-02-26,ICICI,Pune,Success
TXN100180,CUST2388,Savings,Credit,170539.76,INR,2023-03-05,Flipkart,Chennai,Pending
TXN100181,CUST7296,Savings,Credit,56745.63,INR,2024-08-26,SBI,nan,Pending
TXN100182,CUST5367,Credit,nan,462347.56,INR,2023-10-13,ICICI,Mumbai,Success
TXN100183,CUST4978,Loan,Credit,438670.9,USD,2023-12-08,Flipkart,Bangalore,Success
TXN100184,CUST5490,Credit,Debit,128978.23,USD,2024-05-23,HDFC,nan,Success
TXN100185,CUST1852,Credit,Debit,329995.42,nan,2024-03-09,Amazon,Pune,Success
TXN100186,CUST7377,nan,Debit,408612.93,INR,2024-03-13,HDFC,Delhi,Success
TXN100187,CUST7501,Savings,Credit,277604.85,USD,2024-06-18,Flipkart,Pune,Success
TXN100188,CUST9114,Savings,Credit,264829.99,INR,2024-06-13,Amazon,Pune,nan
TXN100189,CUST9428,Credit,Credit,120933.73,INR,2023-03-22,HDFC,nan,Success
TXN100190,CUST2056,Current,Debit,46560.45,USD,2024-01-16,SBI,Bangalore,Success
TXN100191,CUST3260,Current,Credit,448608.91,INR,2024-11-24,Amazon,Chennai,Success
TXN100192,CUST1908,Savings,Credit,,INR,2024-10-09,SBI,Hyderabad,Success
TXN100193,CUST1449,Current,Credit,316554.4,INR,2024-02-20,Amazon,nan,Pending
TXN100194,CUST1568,Current,Credit,169521.51,USD,2024-09-10,ICICI,Delhi,Pending
TXN100195,CUST4498,Savings,Credit,174611.3,INR,2023-05-14,nan,Hyderabad,Success
TXN100196,CUST6870,Current,Credit,362980.58,INR,2024-12-12,Amazon,Hyderabad,Failed
TXN100197,CUST2308,Current,Credit,448556.16,nan,2024-11-21,Flipkart,Pune,Success
TXN100198,CUST1717,Loan,Debit,443544.34,INR,2024-07-12,Reliance,Chennai,Success
TXN100199,CUST4345,nan,Credit,389939.97,INR,2023-08-11,ICICI,Bangalore,Success
TXN100200,CUST8214,Loan,Debit,321019.4,INR,2023-04-25,SBI,Delhi,Failed
TXN100201,CUST8682,nan,Debit,42079.14,INR,2023-11-22,ICICI,nan,Success
TXN100202,CUST3718,Savings,Credit,80822.74,INR,2023-07-15,ICICI,Delhi,Success
TXN100203,CUST2455,Loan,Credit,449278.11,nan,2023-09-06,Reliance,Delhi,Success
TXN100204,CUST8297,Current,Credit,303218.47,INR,2023-08-14,Walmart,Hyderabad,nan
TXN100205,CUST8035,Credit,nan,4608.43,USD,2023-10-10,Reliance,Bangalore,Success
TXN100206,CUST5230,Savings,Debit,50744.76,INR,2024-03-25,HDFC,Delhi,Success
TXN100207,CUST1531,Loan,nan,331754.25,INR,2023-02-23,Reliance,Delhi,Success
TXN100208,CUST3267,Savings,Debit,,INR,2024-10-15,ICICI,Delhi,Failed
TXN100209,CUST1332,Savings,Debit,80412.42,INR,2024-05-01,Amazon,Delhi,Failed
TXN100210,CUST6249,Loan,Credit,274371.41,INR,2023-05-30,Walmart,Mumbai,Success
TXN100211,CUST8199,Credit,Debit,345950.68,INR,2024-12-09,Amazon,Chennai,Success
TXN100212,CUST6721,Current,Credit,325984.11,USD,2023-02-25,HDFC,Bangalore,Failed
TXN100213,CUST9012,Credit,Credit,112142.41,USD,2023-07-29,ICICI,Mumbai,Success
TXN100214,CUST8928,Savings,Debit,356092.49,USD,2023-11-12,HDFC,Chennai,Success
TXN100215,CUST7500,Credit,Debit,118632.17,INR,2024-07-16,nan,Delhi,Success
TXN100216,CUST1400,Savings,Debit,162706.6,INR,2024-02-04,SBI,Mumbai,Success
TXN100217,CUST8039,Loan,Debit,373248.24,EUR,2024-05-06,Flipkart,nan,Success
TXN100218,CUST4991,Current,Debit,324819.95,INR,2023-05-08,Flipkart,Mumbai,Success
TXN100219,CUST2057,Loan,Credit,424613.21,INR,2023-01-12,Amazon,Bangalore,Success
TXN100220,CUST8933,Current,nan,328809.87,INR,2023-01-24,Reliance,Chennai,Success
TXN100221,CUST3993,Current,Debit,284158.62,INR,2023-05-06,SBI,nan,nan
TXN100222,CUST9233,Current,Debit,46846.45,INR,2023-11-27,Amazon,Mumbai,Pending
TXN100223,CUST1026,Current,Debit,183864.22,INR,2023-06-20,HDFC,Pune,Success
TXN100224,CUST4533,Savings,Debit,,USD,2023-04-15,ICICI,Pune,Success
TXN100225,CUST3618,Loan,Debit,122002.38,INR,2023-08-09,Walmart,Hyderabad,Success
TXN100226,CUST7639,Current,Debit,486505.55,INR,2023-02-26,ICICI,Mumbai,Success
TXN100227,CUST7629,Current,Credit,196554.93,EUR,2024-10-22,ICICI,Delhi,Success
TXN100228,CUST8627,Savings,Debit,446024.36,INR,2024-07-05,Amazon,Delhi,Success
TXN100229,CUST8042,Savings,Debit,315573.0,USD,2023-02-02,ICICI,Chennai,Success
TXN100230,CUST9902,Current,Credit,397407.7,INR,2023-06-10,HDFC,Mumbai,Success
TXN100231,CUST3018,Loan,Credit,251323.52,nan,2023-04-18,ICICI,Pune,Failed
TXN100232,CUST5878,Current,Debit,288456.17,USD,2023-03-06,Amazon,Hyderabad,Success
TXN100233,CUST3898,Savings,Credit,246263.92,INR,2023-03-17,ICICI,Pune,Success
TXN100234,CUST7075,Savings,Credit,97629.54,EUR,2023-02-15,Amazon,Delhi,Success
TXN100235,CUST3047,Loan,Credit,361228.83,USD,2024-03-28,HDFC,Chennai,Success
TXN100236,CUST6202,Credit,Credit,140393.37,INR,2024-03-25,Flipkart,Pune,nan
TXN100237,CUST2558,nan,Debit,12167.74,nan,2024-03-09,Flipkart,Mumbai,Success
TXN100238,CUST2722,Savings,Credit,322739.69,INR,2024-09-17,Reliance,Chennai,Success
TXN100239,CUST5052,Loan,Credit,88563.57,INR,2023-11-04,ICICI,Hyderabad,Success
TXN100240,CUST2651,Loan,Credit,470229.89,EUR,2024-02-09,HDFC,Bangalore,Success
TXN100241,CUST6222,Loan,Credit,476964.75,USD,2024-09-27,nan,Delhi,Success
TXN100242,CUST2778,Savings,Credit,457433.05,INR,2023-05-23,Amazon,Mumbai,nan
TXN100243,CUST1683,Credit,Credit,185085.65,INR,2024-10-10,ICICI,Bangalore,Failed
TXN100244,CUST3010,Current,Credit,7738.15,INR,2023-10-15,Amazon,Chennai,Success
TXN100245,CUST3582,Current,Credit,464160.0,INR,2023-03-13,Walmart,Hyderabad,Failed
TXN100246,CUST9505,Current,Debit,214097.79,INR,2024-02-11,Walmart,Mumbai,Success
TXN100247,CUST8443,Credit,Credit,483327.74,INR,2024-07-07,Flipkart,Bangalore,Success
TXN100248,CUST6492,nan,Credit,481810.35,USD,2023-09-21,Reliance,Delhi,Success
TXN100249,CUST1443,Credit,Debit,,INR,2023-08-09,Flipkart,Delhi,Success
TXN100250,CUST2671,Credit,Debit,147231.5,INR,2023-02-13,Walmart,Delhi,Success
TXN100251,CUST4266,Credit,nan,192555.01,INR,2024-02-27,SBI,Bangalore,Success
TXN100252,CUST8425,Credit,Credit,,nan,2023-10-16,Flipkart,Hyderabad,Failed
TXN100253,CUST6909,Savings,Credit,158467.83,INR,2024-08-01,nan,Bangalore,Success
TXN100254,CUST8014,Savings,Credit,84754.68,INR,2023-02-05,Flipkart,Mumbai,Success
TXN100255,CUST6479,Credit,Debit,,INR,2024-08-21,SBI,Delhi,Success
TXN100256,CUST8819,Savings,Credit,468078.03,USD,2024-06-21,Walmart,Mumbai,Success
TXN100257,CUST6141,Credit,Credit,348017.94,INR,2024-04-02,SBI,Delhi,Success
TXN100258,CUST1715,Loan,nan,285034.88,EUR,2023-10-21,Walmart,Mumbai,Success
TXN100259,CUST1891,Current,Debit,48597.28,INR,2023-04-10,ICICI,nan,Success
TXN100260,CUST4807,Loan,Credit,307507.46,INR,2023-05-31,Walmart,Pune,Success
TXN100261,CUST1500,Current,Credit,495027.02,USD,2023-05-16,HDFC,Chennai,Failed
TXN100262,CUST3640,Savings,Debit,70050.61,INR,2023-10-07,Amazon,Delhi,Success
TXN100263,CUST9894,Current,Debit,259169.64,INR,2024-01-10,HDFC,Mumbai,Success
TXN100264,CUST3333,Loan,Credit,438687.76,INR,2024-04-10,Flipkart,Pune,Success
TXN100265,CUST3194,nan,Credit,,EUR,2024-02-28,nan,Mumbai,Success
TXN100266,CUST7937,Current,Credit,348510.9,INR,2024-09-04,ICICI,Hyderabad,Success
TXN100267,CUST9575,Savings,Credit,351245.02,USD,2024-05-08,Amazon,Delhi,Success
TXN100268,CUST2591,Savings,Credit,179751.98,EUR,2024-10-26,Flipkart,Bangalore,Success
TXN100269,CUST6059,Current,Credit,146802.99,USD,2023-04-28,HDFC,Hyderabad,Success
TXN100270,CUST5398,Current,Debit,404682.48,INR,2024-02-13,Flipkart,Mumbai,Success
TXN100271,CUST5440,Credit,Debit,405058.6,USD,2023-01-17,Flipkart,Mumbai,Success
TXN100272,CUST2783,Loan,Debit,433537.49,INR,2024-10-05,Walmart,Chennai,nan
TXN100273,CUST6385,Credit,Debit,456621.14,INR,2023-09-08,Amazon,Pune,Success
TXN100274,CUST5117,Savings,Debit,255676.09,INR,2024-08-19,HDFC,Delhi,Success
TXN100275,CUST7982,Current,Credit,250763.13,INR,2024-12-24,Flipkart,Mumbai,Success
TXN100276,CUST3583,Loan,Credit,399149.61,USD,2023-04-15,SBI,Pune,nan
TXN100277,CUST9454,Credit,Credit,324985.47,INR,2024-09-02,Amazon,Pune,Failed
TXN100278,CUST3430,Savings,Debit,350986.42,INR,2023-02-10,Walmart,Pune,Success
TXN100279,CUST6669,Savings,Debit,397898.38,EUR,2024-07-25,Reliance,Mumbai,Success
TXN100280,CUST8060,Credit,Debit,445003.77,EUR,2024-08-21,Flipkart,Pune,Success
TXN100281,CUST9583,Savings,Credit,169004.2,INR,2024-04-13,Amazon,Chennai,Failed
TXN100282,CUST3936,Credit,Debit,187797.72,nan,2024-07-08,Amazon,Hyderabad,Pending
TXN100283,CUST9731,Current,Debit,47000.03,EUR,2024-06-16,Amazon,Bangalore,nan
TXN100284,CUST7709,Savings,Debit,289144.29,EUR,2024-10-25,Flipkart,Delhi,Success
TXN100285,CUST5323,Credit,Credit,17980.78,INR,2024-02-25,ICICI,Mumbai,Success
TXN100286,CUST7616,Savings,Credit,232804.35,INR,2024-09-25,Reliance,Delhi,Success
TXN100287,CUST3419,Current,Debit,271326.89,INR,2024-05-18,Amazon,Chennai,Success
TXN100288,CUST2399,Savings,Debit,143277.76,USD,2024-11-14,Amazon,Delhi,Success
TXN100289,CUST3084,Credit,Debit,295420.72,EUR,2023-07-30,Walmart,Mumbai,Success
